Table;Field;English;Portuguese(Brazil);Spanish;"English Tooltips";"Portuguese(Brazil) Tooltips";"Spanish Tooltips";"English Placeholders";"Portuguese(Brazil) Placeholders";"Spanish Placeholders"
tb_atividade;;Tasks;Tarefas;Tareas;;;;;;
tb_atividade;ativ_id;ID;ID;ID;;;;;;
tb_atividade;clie_id;Client;Cliente;Cliente;;;;;;
tb_atividade;ativ_nm;Name;Nome;Nombre;;;;"Task Name...";"Nome da Tarefa...";
tb_atividade;ativ_ds;Description;Descrição;Descripción;;;;"Task details...";"Detalhes da Atividade...";
tb_atividade;lista_id;List;Lista;Lista;;;;;;
tb_atividade;stat_id;Status;Status;Estado;;;;;;
tb_atividade;ativ_fl_ativo;Active?;Ativo?;¿Activo?;;;;;;
tb_atividade;ativ_prioridade;Priority;Prioridade;Prioridad;;;;;;
tb_atividade;ativ_concluida;Completed;Concluída;Terminado;;;;;;
tb_atividade;ativ_dt_ini;"Start date";"Data Início";"Fecha de inicio";;;;;;
tb_atividade;ativ_dt_fim;"End Date";"Data Fim";"Fecha final";;;;;;
tb_atividade;inclu_id;"Included by";"Incluído por";"Incluido por";;;;;;
tb_atividade;inclu_dt;"Included in";"Incluído em";"Incluido en";;;;;;
tb_atividade;alter_id;"Changed by";"Alterado por";"Cambiado por";;;;;;
tb_atividade;alter_dt;"Changed on";"Alterado em";"Cambiado en";;;;;;
tb_clientes;;Customers;Clientes;Clientes;;;;;;
tb_clientes;clie_id;ID;ID;ID;;;;;;
tb_clientes;clie_nm_reduzido;Name;Nome;Nombre;;;;;;
tb_clientes;clie_email;Email;Email;"Correo electrónico";;;;;;
tb_clientes;clie_endereco;Address;Endereço;"Habla a";;;;;;
tb_clientes;clie_pais;Parents;País;Padres;;;;;;
tb_clientes;clie_domi_status;"Domain Status";"Status do Domínio";"Estado del dominio";;;;;;
tb_clientes;clie_nm_completo;"Full name";"Nome Completo";"Nombre completo";;;;;;
tb_clientes;clie_fones_contato;"Contact Headphones";"Fones de Contato";"Auriculares de contacto";;;;;;
tb_clientes;inclu_id;"Included by";"Incluído por";"Incluido por";;;;;;
tb_clientes;inclu_dt;"Included in";"Incluído em";"Incluido en";;;;;;
tb_clientes;alter_id;"Changed by";"Alterado por";"Cambiado por";;;;;;
tb_clientes;alter_dt;"Changed on";"Alterado em";"Cambiado en";;;;;;
tb_clientes_planos;;"Customer Plans";"Planos de Clientes";"Planes de clientes";;;;;;
tb_clientes_planos;clipla_id;ID;ID;ID;;;;;;
tb_clientes_planos;clie_id;"Customer ID";"ID Cliente";"Identificación del cliente";;;;;;
tb_clientes_planos;plan_id;"Flat ID";"ID Plano";"ID plana";;;;;;
tb_clientes_planos;clipla_dt_vigenc_ini;"Effective Date Start";"Data Vigência Início";"Fecha de inicio efectiva";;;;;;
tb_clientes_planos;clipla_dt_vigenc_fim;"Final Effective Date";"Data Vigência Final";"Fecha de vigencia final";;;;;;
tb_clientes_planos;clipla_vl;"Plan Amount";"Valor do Plano";"Cantidad del plan";;;;;;
tb_clientes_planos;inclu_id;"Included by";"Incluído por";"Incluido por";;;;;;
tb_clientes_planos;inclu_dt;"Included in";"Incluído em";"Incluido en";;;;;;
tb_clientes_planos;alter_id;"Changed by";"Alterado por";"Cambiado por";;;;;;
tb_clientes_planos;alter_dt;"Changed on";"Alterado em";"Cambiado en";;;;;;
tb_dominios;;Domains;Domínios;Dominios;;;;;;
tb_dominios;domi_id;ID;ID;ID;;;;;;
tb_dominios;domi_grupo;Group;Grupo;Grupo;;;;;;
tb_dominios;domi_ordem;Order;Ordem;Orden;;;;;;
tb_dominios;domi_valor;Value;Valor;Valor;;;;;;
tb_dominios;domi_exibe;Exhibition;Exibição;Exposición;;;;;;
tb_dominios;inclu_id;"Included by";"Incluído por";"Incluido por";;;;;;
tb_dominios;inclu_dt;"Included in";"Incluído em";"Incluido en";;;;;;
